|0
Amazon.ca First Novel Award|6
Bollinger Everyman Wodehouse Prize for Comic Fiction|6
Los Angeles Times Book Prize for Mystery/Thriller|6
Luisterboek Award Nominee|6
Lord Ruthven Award for Fiction|6
Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8|6
Saturn Award|6
Ohioana Book Award for Fiction|6
Young Hoosier Book Award|6
California Young Readers Medal for Primary|6
National Book Award for Science|6
Złota Sepulka for Książka autora zagranicznego|6
Cena Jaroslava Seiferta|6
Gutenberg Award|6
RITA Award by Romance Writers of America Nominee for Short Historical Romance|6
Publieksprijs voor het Nederlandse Boek Nominee|6
Puddly Award for Travel Writing|6
Puddly Award for Romance|6
Authors' Club Best First Novel Award|6
Keystone to Reading Book Award|6
Deutsch-Italienischer Übersetzerpreis|6
The Keith Barker Millennium Children's Book Awards 'Children's Book of the Century'|6
SF ga Yomitai for Best Translated SF of the Year in Japan|6
Premi Protagonista Jove for Categoria 14-15 anys|6
Favorite Books by Romance Writers of America Nominee for Favorite Books of 2002|6
Colorado Book Award for Young Adult|6
Corine Internationaler Buchpreis for Rolf Heyne Buchpreis|6
Colorado Book Award for Genre Fiction|6
James Tiptree Jr. Award Nominee for Retrospective|6
RITA Award by Romance Writers of America for Best Romance of 1991 & nominee for Best First Book & nominee for Single Title Historical Romance|6
Kniha roku|6
Locus Award for Best First Novel and Nominee for Best Fantasy Novel|6
Manitoba Young Readers' Choice Award|6
Agatha Award Nominee for Best Nonfiction|6
Urhunden Prize for Foreign Album|6
IRA-CBC Teacher's Choice|6
San Diego Theodor S. Geisel Award|6
Norwegian Critics Prize for Children's Literature|6
Japan-U.S. Friendship Commission Prize for the Translation of Japanese Literature|6
Lambda Literary Award Nominee for Gay Men's Science Fiction/Fantasy|6
Thomas Wolfe Memorial Literary Award|6
Hamilton-Brackett Memorial Award|6
Lambda Literary Award for Gay Men's Mystery|6
Bram Stoker Award for Best Non-Fiction|6
Bram Stoker Award for Works for Young Readers|6
Hugo Award Nominee|6
Audie Award for Excellence in Marketing|6
Puddly Award for Writing|6
Ambassador Book Award for Biography|6
